,Nome,Localização,Data,Tweet,classe
0,xanafdc,,2021-01-15 20:53:35,"RT @sabiafalandu: Não é sexo, não é beleza, não é dinheiro, não é filho. Apenas 3 coisas mantém um relacionamento, amor, respeito e honesti…",amor
1,AGUSTDVI0R,ela/dela.,2021-01-15 20:53:34,"RT @anakkth: ⚠️⚠️⚠️⚠️⚠️⚠️PELO AMOR DE DEUS ME AJUDEM A EXPLANAR ESSE NOJENTO, VI NOS STORIES MAS A GENTE PRECISA PARAR ELE. COMPARTILHEM!!!…",amor
2,giulia_rocinha,"Rocinha, Rio de Janeiro",2021-01-15 20:53:34,@borgesog vc é amor😭,amor
3,eiIishu,,2021-01-15 20:53:34,@littlebiah_ @charlidamelio ela é um amor,amor
4,_mykelf,Hell,2021-01-15 20:53:33,@matxcosta Para de pensar em like mulher pelo amor,amor
5,laraguiidi,,2021-01-15 20:53:33,@vitoria_luaa A carapuça serve né meu amor 🥰🥰🥰🥰🥰🥰🥰🥰🥰,amor
6,_elsa_barbosa_,,2021-01-15 20:53:33,"RT @_beatrzx: dar amor nunca é em vão, tenho amor p dar e vender, por mim tava sempre a espalhar amor. Nnc perdemos, quem perde é quem não…",amor
7,3_14159QUeNo,Portugal,2021-01-15 20:53:33,"RT @_marianaflopes: Vão por amor de deus votar, eu imploro-vos que votem.",amor
8,vanessa_grazz,"Manaus, Amazonas",2021-01-15 20:53:33,"Criou seus filhos com muita dificuldade, mas com muito amor. Falava pra todo mundo do filho, que fez medicina em Cu… https://t.co/fK8lMgCbSw",amor
9,JapaGimenes,,2021-01-15 20:53:33,"RT @gjusti: não to falando de amor, ta doida?
é que a gente combina melhor sem roupa",amor
10,uaremyonething,†=❤️,2021-01-15 20:53:33,RT @Dthay_S: @whindersson Gente pelo amor de Deus. Meu tio que mora em MANAUS está com covid e com 50% do pulmão comprometido. Eu moro no C…,amor
11,cocovalutz,,2021-01-15 20:53:32,"RT @gcforjimeo: *jungkook desmaia*

yoongi: e agora?

hobi: PELO AMOR DE DEUS O QUE A GENTE FAZ AGORA?

jimin: fica calmo, vou fazer uma re…",amor
12,thaixcar,"Paraná, Brasil",2021-01-15 20:53:32,@Gaabvitoriaa Amor,amor
13,binacarpent,Estados Unidos,2021-01-15 20:53:32,@bendelaarte MUITO LINDO MEU AMOR PQP,amor
14,carolmunhoz11,,2021-01-15 20:53:32,Caramba team one fecha logo esse mapa pelo amor,amor
15,crystalcosta28,,2021-01-15 20:53:32,RT @dxazzoni: Passa ano e o pessoal continua nessa de comprar cachorro/gato pra ter a raça “dos sonhos” enquanto tem milhares de vira latas…,amor
16,crf_evellyn8,no seu coração ,2021-01-15 20:53:32,"RT @agorasoumamae: quando eu olho pro meu filho eu vejo o amor de Deus por mim, meu filho é perfeito!!!!!!!  ❤️😭",amor
17,_kekel__,"Sobral, Brasil",2021-01-15 20:53:31,"@Amassyxups @brigdes_ amor já enviei meu cilindro de oxigênio, já vc fez o que mesmo? 🤔",amor
18,mandarodrigues,"Rio de Janeiro, Brasil",2021-01-15 20:53:31,"cara eu fiquei em frangalhos com essa notícia... tô sentindo dor física sério...
pelo amor de Deus... meu Pai... ma… https://t.co/Kz6Y8qD47B",amor
19,phaely1987,complexo do alemão 🍀,2021-01-15 20:53:30,"RT @sabiafalandu: Não é sexo, não é beleza, não é dinheiro, não é filho. Apenas 3 coisas mantém um relacionamento, amor, respeito e honesti…",amor
20,wallsRUmine,5SOS,2021-01-15 20:53:30,@wallsoneh @anajcalm Amor sério ta horrível     KKKKKKKKKK,amor
21,Dudinhaa820,"Paraná, Brasil",2021-01-15 20:53:30,"@sarahelen01 vou sim meu amor, te amoo🥺💖",amor
22,re52134052,,2021-01-15 20:53:29,RT @juliacrrz: sou fofocasexual gosto de me relacionar com pessoas fofoqueiras daquelas que eu chego: amor nem te conto e ela: conta sim na…,amor
23,julia_crf19,Maracanã,2021-01-15 20:53:28,@kelvincrff irei amor,amor
24,Jacque_sousaa,Abençoada demais pra reclamar✨,2021-01-15 20:53:28,"RT @agorasoumamae: quando eu olho pro meu filho eu vejo o amor de Deus por mim, meu filho é perfeito!!!!!!!  ❤️😭",amor
25,melfmic,"💥, 🎭, 🐻, 🐜, 🎯",2021-01-15 20:53:28,"@everlastingrbr @arrobasofrida @koumabuchie @omeuluar Amor pq vc tá na defensiva? Oxe. Eu não vi isso, só disse que… https://t.co/Y7frfmUJMp",amor
26,LEOLIMA_MA,Fortaleza-ma,2021-01-15 20:53:28,"@marcofeliciano @ArthurLira_ @RodrigoMaia Deputado, pelo amor que você e seus pares tem ao Brasil, sejam sagaz nest… https://t.co/adYdednAC9",amor
27,mmalfoyyy,Hogwarts ,2021-01-15 20:53:27,"RT @aeIinfenrys: “não gosto da Aelin Galathynius"" entendi.

não gosta do que mais???

amor??? educação e saúde??? minorias??? amazônia??? v…",amor
28,_brswan,"Florianópolis, Brasil",2021-01-15 20:53:27,@rribeirocarla tais melhor amor??,amor
29,gvnnjk,absent. 𖤐 𝘯𝘴𝘧𝘸,2021-01-15 20:53:27,@waidovar pelo amor de dee- 🤧,amor
30,gyucelest,,2021-01-15 20:53:27,@TXT_members MEU AMOR EU TE AMO TANTO,amor
31,j_loupes,SP-Capital,2021-01-15 20:53:27,"@trajaza Olha, eu não poderia dizer que é pra mim pois sou nova ainda e sinto que  tenho muitas coisas pra fazer an… https://t.co/rdPlkDD8mK",amor
32,Ljn223,,2021-01-15 20:53:26,"@drumondclara Meu amor, dou até 1000 se precisar...",amor
33,galaxyforbts,Bangtan world Mundin da Fabi ♡,2021-01-15 20:53:26,@gowoncokes boa tarde meu amor,amor
34,eaiirosa,"Curitiba, Brasil",2021-01-15 20:53:26,RT @larespq: pelo amor de Deus eu preciso tomar uma bera,amor
35,lovehyunjinnie,ˢᵏᶻ ᵍᵒᵗ⁷ ᵗʳᵉᵃˢᵘʳᵉ,2021-01-15 20:53:26,"@linopoetry manu me da agonia KJKKKK ele pisca em TUDO com o MESMO olho

alguém ensina ele a piscar com o outro ou… https://t.co/A2yIRDtsv9",amor
36,biazita28,,2021-01-15 20:53:26,"RT @Laysspaula: Avó paterna nunca vai ser igual avó materna, o amor é diferente. Isso eu não tenho dúvidas!!",amor
37,AtchimSantinha,Hogwarts,2021-01-15 20:53:25,"RT @_marianaflopes: Vão por amor de deus votar, eu imploro-vos que votem.",amor
38,illyriamren,Stars Hollow,2021-01-15 20:53:25,gente pelo amor é FRANCHAEL tem nada de micesca não faz favor,amor
39,mariaparanhoss,três rios ,2021-01-15 20:53:25,"pelo amor, me tira de casa😔😔😔😔😔",amor
40,Natylima12_,,2021-01-15 20:53:25,"RT @maarimagri: Hoje minha psicóloga disse que a maior prova de amor que podemos dar a alguém, é deixar que essa pessoa se sinta confortáve…",amor
41,daphnekIuger,o8,2021-01-15 20:53:24,@anyatlcrjoy exatamente amor mas se fosse mais curto seria melhor!!,amor
42,takingomezz,evermore track 13,2021-01-15 20:53:24,"selenators estadunidenses pelo amor de Deus sejam úteis ao menos uma vez comprem essa música eu to implorando 

BUY DE UNA VEZ ON ITUNES",amor
43,lamf992,Paraguay,2021-01-15 20:53:24,"RT @Marcela97853859: Minha bucetinha está molhada...😈😍
Você quer ver amor ?? Da RT https://t.co/IXAcuj307K",amor
44,tzulost,ｷ⠀𝟿𝟽⠀˓⠀𝗆𝗂⠀ִֶָ⠀나⠀⊹⠀🐧𓈒 ,2021-01-15 20:53:23,"RT @onceree: SANA E MOMO TENHAM PIEDADE DAS SUAS CADELINHAS PELO AMOR DE DEUS 
https://t.co/cysaqMPPLw",amor
45,diangelosart,dua. sun.,2021-01-15 20:53:23,acho que todo mundo do team luke dropou a invasão pelo amor de deus eu nao aguento mais https://t.co/QXj7RUaVRZ,amor
46,pedrohnrque,,2021-01-15 20:53:23,@letxipretinha se meu amor fosse tudo vc n teria nada,amor
47,thaylortriunfo,Complexo de Caxias 🇭🇷,2021-01-15 20:53:22,RT @emilly_skar: Pensando bem acho que todo mundo merece a sorte de um amor recíproco. Aquele sentimento que te faz sentir frio na barriga…,amor
48,EmilayniB,,2021-01-15 20:53:22,"@VidaFeliz28 @deisisteinbach Doeu oq macho? pelo amor KKKKKK pode me chamar doq quiser, felizmente minha imagem não… https://t.co/qegpRluYuM",amor
