Data,TempMaxima,Insolacao,Evaporacao Piche,Umidade Relativa Media,Precipitacao,TempMinima
13/04/2015,32.6,3.54444,4.63943,78,0,16.4
14/04/2015,30.4,3.54444,4.63943,86.5,0,16.2
15/04/2015,29.6,3.54444,4.63943,88.25,0,19
16/04/2015,32.6,3.54444,4.63943,83,0,16.4
17/04/2015,32.6,3.54444,4.63943,82.25,0,19.2
18/04/2015,32.6,3.54444,4.63943,87,0,19
19/04/2015,32.4,3.54444,4.63943,90.5,0,18.6
20/04/2015,34,3.54444,4.63943,83,0,18
21/04/2015,33.8,3.54444,4.63943,88.5,0,19.6
22/04/2015,32.2,3.54444,4.63943,88.75,1,20
23/04/2015,32.8,3.54444,4.63943,87.5,5.5,20
24/04/2015,31.6,3.54444,4.63943,89,0,20.2
25/04/2015,31,3.54444,4.63943,88,4,19.8
26/04/2015,29,3.54444,4.63943,82.5,0,19.2
27/04/2015,31,3.54444,4.63943,84.75,0,21.2
28/04/2015,32.4,3.54444,4.63943,80,6.7,18.8
29/04/2015,30.8,3.54444,4.63943,84.75,0,12.4
30/04/2015,30,3.54444,4.63943,83.5,0,12.8
01/05/2015,30,3.54444,1,83.25,0,16
02/05/2015,31.6,3.54444,1,77.5,0,14.8
03/05/2015,31.2,3.54444,2,75.25,0,13.2
04/05/2015,26.8,3.54444,4.4,92.25,0,12.2
05/05/2015,29.4,3.54444,0.6,90,0,14
06/05/2015,28.4,3.54444,0.5,89.5,0,17
07/05/2015,28.6,3.54444,1.5,83.75,23,18.8
08/05/2015,27.8,3.54444,2,88.25,7,20.4
09/05/2015,30.4,3.54444,1.5,81,0,16.8
10/05/2015,29.4,3.54444,0.7,89.5,0,15.6
11/05/2015,24.4,3.54444,2.5,89,0,11.2
12/05/2015,25.4,3.54444,0.9,85,0,11.8
13/05/2015,25.6,3.54444,2.6,86,0,14.4
14/05/2015,28.6,3.54444,2.2,80.75,28.3,14.4
15/05/2015,25.2,3.54444,3.8,88,0,12
16/05/2015,28,3.54444,2.2,86,0,11.6
17/05/2015,29,3.54444,2.8,81.75,0,12.3
18/05/2015,29.2,3.54444,5,86.75,0,15.6
19/05/2015,28.4,3.54444,2,92.25,0,15.6
20/05/2015,26.6,3.54444,3,89,0,14
21/05/2015,27.4,3.54444,2,84.75,0,19.4
22/05/2015,30,3.54444,2.8,85.5,0,14.4
23/05/2015,27.4,3.54444,1.2,84,4,16.4
24/05/2015,31,3.54444,5,79.5,0,16.6
25/05/2015,32,3.54444,5,77,0,16.8
26/05/2015,32,3.54444,5,77,0,17.2
27/05/2015,31.6,3.54444,7,80.25,0,16.6
28/05/2015,25.2,3.54444,3,97.25,0,18.2
29/05/2015,24.2,3.54444,1,89,0,18.2
30/05/2015,28.4,3.54444,1,83.5,0,17.4
31/05/2015,28.6,3.54444,4,88.5,0,15.6
01/06/2015,26.2,3.54444,3,93.25,12.8,14
02/06/2015,20.8,3.54444,3,98.5,0,12.6
03/06/2015,27.4,3.54444,2,85.5,0,18.6
04/06/2015,29,3.54444,1.2,79.25,6.5,15.8
05/06/2015,29,3.54444,3.2,76.5,0,15.2
06/06/2015,29.4,3.54444,8.5,79,4.4,12.7
07/06/2015,30.6,3.54444,0.5,77,0,14.8
08/06/2015,30.6,3.54444,2,73.5,0,14.8
09/06/2015,30.8,3.54444,4.4,79.25,0,16
10/06/2015,30.8,3.54444,6.1,77.5,0,16.6
11/06/2015,31.4,3.54444,2.5,72.25,0,16.2
12/06/2015,31.2,3.54444,7,77.75,0,16
13/06/2015,31.4,3.54444,5,63.75,0,16.8
14/06/2015,31.8,3.54444,4,76.25,0,16
15/06/2015,26.3,3.54444,7,89.75,0,15.2
16/06/2015,27.6,3.54444,2.7,83.25,0,16.5
17/06/2015,32,3.54444,2.3,76.75,0,18.6
18/06/2015,32.6,3.54444,5,70.6886,0,14.8
19/06/2015,24.2,3.54444,5,70.6886,0,12.2
20/06/2015,23.2,3.54444,6,70.6886,0,14.6
21/06/2015,28.4,3.54444,2,70.6886,0,17.4
22/06/2015,28.6,3.54444,2,78,0,15.2
23/06/2015,27.6,3.54444,5,81.25,0,13.8
24/06/2015,28,3.54444,4,79.75,0,14.2
25/06/2015,27.8,3.54444,3,81.5,0,14.8
26/06/2015,27.8,3.54444,3.2,83.5,0,15.8
27/06/2015,26.6,3.54444,1,78,0,11.6
28/06/2015,27.2,3.54444,2,74.25,0,14.6
29/06/2015,28.4,3.54444,3,71.5,0,14.2
30/06/2015,29,3.54444,3,66,0,12.2
01/07/2015,24.8,3.54444,3,91.25,0,12.4
02/07/2015,24.8,3.54444,2,91.5,0,13.8
