"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"AM";"02496";"JUTAÍ";"02496";"JUTAÍ";"41";"13";"Vereador";"Partido isolado";"55";"PSD";"Partido Social Democrático";"40000155024";"PARTIDO ISOLADO";"PSD";"N";"1";"4"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"AM";"02119";"BARREIRINHA";"02119";"BARREIRINHA";"26";"13";"Vereador";"Partido isolado";"70";"AVANTE";"AVANTE";"40000094177";"PARTIDO ISOLADO";"AVANTE";"N";"1269";"18"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"AM";"02453";"JAPURÁ";"02453";"JAPURÁ";"48";"13";"Vereador";"Partido isolado";"77";"SOLIDARIEDADE";"Solidariedade";"40000152653";"PARTIDO ISOLADO";"SOLIDARIEDADE";"N";"2";"1"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"AM";"02097";"BARCELOS";"02097";"BARCELOS";"18";"13";"Vereador";"Partido isolado";"25";"DEM";"Democratas";"40000120042";"PARTIDO ISOLADO";"DEM";"N";"684";"15"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"AM";"02410";"ITACOATIARA";"02410";"ITACOATIARA";"3";"13";"Vereador";"Partido isolado";"65";"PC do B";"Partido Comunista do Brasil";"40000153655";"PARTIDO ISOLADO";"PC do B";"N";"2212";"41"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"AM";"02950";"BERURI";"02950";"BERURI";"54";"13";"Vereador";"Partido isolado";"90";"PROS";"Partido Republicano da Ordem Social";"40000071013";"PARTIDO ISOLADO";"PROS";"N";"454";"7"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"AM";"98396";"MANAQUIRI";"98396";"MANAQUIRI";"23";"11";"Prefeito";"Partido isolado";"13";"PT";"Partido dos Trabalhadores";"40000142012";"PARTIDO ISOLADO";"PT";"N";"114";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"AM";"02950";"BERURI";"02950";"BERURI";"54";"11";"Prefeito";"Coligação";"25";"DEM";"Democratas";"40000134219";"BERURI O POVO NO GOVERNO";"PMB / DEM";"N";"1698";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"AM";"02399";"IPIXUNA";"02399";"IPIXUNA";"45";"13";"Vereador";"Partido isolado";"10";"REPUBLICANOS";"REPUBLICANOS";"40000089876";"PARTIDO ISOLADO";"REPUBLICANOS";"N";"1234";"28"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"AM";"02836";"SÃO GABRIEL DA CACHOEIRA";"02836";"SÃO GABRIEL DA CACHOEIRA";"19";"13";"Vereador";"Partido isolado";"10";"REPUBLICANOS";"REPUBLICANOS";"40000117907";"PARTIDO ISOLADO";"REPUBLICANOS";"N";"655";"32"
