"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"MS";"91430";"RIO BRILHANTE";"91430";"RIO BRILHANTE";"11";"13";"Vereador";"Partido isolado";"55";"PSD";"Partido Social Democrático";"120000146965";"PARTIDO ISOLADO";"PSD";"N";"2769";"203"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"MS";"91650";"TRÊS LAGOAS";"91650";"TRÊS LAGOAS";"9";"13";"Vereador";"Partido isolado";"70";"AVANTE";"AVANTE";"120000131865";"PARTIDO ISOLADO";"AVANTE";"N";"178";"10"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"MS";"90514";"CAMPO GRANDE";"90514";"CAMPO GRANDE";"8";"13";"Vereador";"Partido isolado";"77";"SOLIDARIEDADE";"Solidariedade";"120000130669";"PARTIDO ISOLADO";"SOLIDARIEDADE";"N";"3348";"64"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"MS";"91731";"ELDORADO";"91731";"ELDORADO";"25";"13";"Vereador";"Partido isolado";"77";"SOLIDARIEDADE";"Solidariedade";"120000114463";"PARTIDO ISOLADO";"SOLIDARIEDADE";"N";"307";"15"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"MS";"91375";"PORTO MURTINHO";"91375";"PORTO MURTINHO";"20";"13";"Vereador";"Partido isolado";"11";"PP";"PROGRESSISTAS";"120000132624";"PARTIDO ISOLADO";"PP";"N";"859";"11"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"MS";"91596";"TERENOS";"91596";"TERENOS";"54";"13";"Vereador";"Partido isolado";"25";"DEM";"Democratas";"120000132603";"PARTIDO ISOLADO";"DEM";"N";"1537";"85"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"MS";"90514";"CAMPO GRANDE";"90514";"CAMPO GRANDE";"44";"13";"Vereador";"Partido isolado";"55";"PSD";"Partido Social Democrático";"120000067685";"PARTIDO ISOLADO";"PSD";"N";"6773";"1486"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"MS";"90514";"CAMPO GRANDE";"90514";"CAMPO GRANDE";"36";"13";"Vereador";"Partido isolado";"65";"PC do B";"Partido Comunista do Brasil";"120000131193";"PARTIDO ISOLADO";"PC do B";"N";"256";"7"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"MS";"90514";"CAMPO GRANDE";"90514";"CAMPO GRANDE";"8";"11";"Prefeito";"Partido isolado";"13";"PT";"Partido dos Trabalhadores";"120000067653";"PARTIDO ISOLADO";"PT";"N";"6778";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"MS";"91782";"CHAPADÃO DO SUL";"91782";"CHAPADÃO DO SUL";"48";"11";"Prefeito";"Partido isolado";"13";"PT";"Partido dos Trabalhadores";"120000155185";"PARTIDO ISOLADO";"PT";"N";"1071";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"MS";"90514";"CAMPO GRANDE";"90514";"CAMPO GRANDE";"35";"11";"Prefeito";"Partido isolado";"22";"PL";"Partido Liberal";"120000139828";"PARTIDO ISOLADO";"PL";"N";"1534";"0"
