"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"MT";"90360";"NOVA MONTE VERDE";"90360";"NOVA MONTE VERDE";"50";"13";"Vereador";"Partido isolado";"51";"PATRIOTA";"Patriota";"110000105993";"PARTIDO ISOLADO";"PATRIOTA";"N";"673";"48"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"MT";"89974";"SALTO DO CÉU";"89974";"SALTO DO CÉU";"52";"13";"Vereador";"Partido isolado";"77";"SOLIDARIEDADE";"Solidariedade";"110000069338";"PARTIDO ISOLADO";"SOLIDARIEDADE";"N";"1108";"47"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"MT";"90670";"CUIABÁ";"90670";"CUIABÁ";"51";"13";"Vereador";"Partido isolado";"77";"SOLIDARIEDADE";"Solidariedade";"110000108757";"PARTIDO ISOLADO";"SOLIDARIEDADE";"N";"2272";"72"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"MT";"99058";"GUARANTÃ DO NORTE";"99058";"GUARANTÃ DO NORTE";"44";"13";"Vereador";"Partido isolado";"28";"PRTB";"Partido Renovador Trabalhista Brasileiro";"110000149690";"PARTIDO ISOLADO";"PRTB";"N";"401";"18"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"MT";"90085";"CANABRAVA DO NORTE";"90085";"CANABRAVA DO NORTE";"28";"13";"Vereador";"Partido isolado";"45";"PSDB";"Partido da Social Democracia Brasileira";"110000094089";"PARTIDO ISOLADO";"PSDB";"N";"1036";"53"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"MT";"90301";"LAMBARI D OESTE";"90301";"LAMBARI D OESTE";"52";"13";"Vereador";"Partido isolado";"51";"PATRIOTA";"Patriota";"110000128686";"PARTIDO ISOLADO";"PATRIOTA";"N";"124";"3"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"MT";"89915";"JAURU";"89915";"JAURU";"41";"11";"Prefeito";"Coligação";"10";"REPUBLICANOS";"REPUBLICANOS";"110000153547";"JUNTOS SOMOS MAIS FORTES";"PP / REPUBLICANOS / MDB / PSDB";"N";"1621";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"MT";"98612";"ALTO TAQUARI";"98612";"ALTO TAQUARI";"8";"11";"Prefeito";"Partido isolado";"22";"PL";"Partido Liberal";"110000149017";"PARTIDO ISOLADO";"PL";"N";"2205";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"MT";"90620";"MATUPÁ";"90620";"MATUPÁ";"33";"11";"Prefeito";"Coligação";"25";"DEM";"Democratas";"110000125242";"PRA FRENTE MATUPÁ";"PSB / PP / DEM / PSDB";"N";"4585";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"MT";"90590";"CHAPADA DOS GUIMARÃES";"90590";"CHAPADA DOS GUIMARÃES";"34";"11";"Prefeito";"Partido isolado";"51";"PATRIOTA";"Patriota";"110000069531";"PARTIDO ISOLADO";"PATRIOTA";"N";"107";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"MT";"90670";"CUIABÁ";"90670";"CUIABÁ";"51";"11";"Prefeito";"Partido isolado";"50";"PSOL";"Partido Socialismo e Liberdade";"110000129218";"PARTIDO ISOLADO";"PSOL";"N";"411";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"MT";"98779";"NOVO SÃO JOAQUIM";"98779";"NOVO SÃO JOAQUIM";"26";"13";"Vereador";"Partido isolado";"11";"PP";"PROGRESSISTAS";"110000105515";"PARTIDO ISOLADO";"PP";"N";"748";"23"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"MT";"91294";"POCONÉ";"91294";"POCONÉ";"4";"13";"Vereador";"Partido isolado";"13";"PT";"Partido dos Trabalhadores";"110000063599";"PARTIDO ISOLADO";"PT";"N";"561";"39"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"MT";"90336";"BARRA DO BUGRES";"90336";"BARRA DO BUGRES";"13";"13";"Vereador";"Partido isolado";"13";"PT";"Partido dos Trabalhadores";"110000151460";"PARTIDO ISOLADO";"PT";"N";"688";"56"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"MT";"90620";"MATUPÁ";"90620";"MATUPÁ";"33";"13";"Vereador";"Partido isolado";"15";"MDB";"Movimento Democrático Brasileiro";"110000057512";"PARTIDO ISOLADO";"MDB";"N";"1914";"43"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"MT";"90786";"FELIZ NATAL";"90786";"FELIZ NATAL";"36";"13";"Vereador";"Partido isolado";"15";"MDB";"Movimento Democrático Brasileiro";"110000129318";"PARTIDO ISOLADO";"MDB";"N";"1542";"108"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"MT";"98930";"SORRISO";"98930";"SORRISO";"43";"13";"Vereador";"Partido isolado";"17";"PSL";"Partido Social Liberal";"110000089999";"PARTIDO ISOLADO";"PSL";"N";"211";"8"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"MT";"90565";"JANGADA";"90565";"JANGADA";"3";"13";"Vereador";"Partido isolado";"25";"DEM";"Democratas";"110000119802";"PARTIDO ISOLADO";"DEM";"N";"1445";"65"
