"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PI";"11533";"PARNAÍBA";"11533";"PARNAÍBA";"3";"13";"Vereador";"Partido isolado";"77";"SOLIDARIEDADE";"Solidariedade";"180000140634";"PARTIDO ISOLADO";"SOLIDARIEDADE";"N";"7451";"115"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PI";"12580";"CURRALINHOS";"12580";"CURRALINHOS";"58";"13";"Vereador";"Partido isolado";"14";"PTB";"Partido Trabalhista Brasileiro";"180000087599";"PARTIDO ISOLADO";"PTB";"N";"794";"17"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PI";"11355";"NOSSA SENHORA DOS REMÉDIOS";"11355";"NOSSA SENHORA DOS REMÉDIOS";"49";"13";"Vereador";"Partido isolado";"15";"MDB";"Movimento Democrático Brasileiro";"180000101548";"PARTIDO ISOLADO";"MDB";"N";"756";"23"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PI";"11673";"PIRIPIRI";"11673";"PIRIPIRI";"11";"13";"Vereador";"Partido isolado";"20";"PSC";"Partido Social Cristão";"180000086222";"PARTIDO ISOLADO";"PSC";"N";"3748";"65"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PI";"12360";"COCAL DE TELHA";"12360";"COCAL DE TELHA";"71";"13";"Vereador";"Partido isolado";"55";"PSD";"Partido Social Democrático";"180000058347";"PARTIDO ISOLADO";"PSD";"N";"872";"41"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PI";"10650";"DEMERVAL LOBÃO";"10650";"DEMERVAL LOBÃO";"54";"11";"Prefeito";"Coligação";"11";"PP";"PROGRESSISTAS";"180000057007";"JUNTOS DE NOVO, COM A FORÇA DO POVO";"PP / MDB";"N";"6560";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PI";"12432";"LAGOINHA DO PIAUÍ";"12432";"LAGOINHA DO PIAUÍ";"52";"11";"Prefeito";"Coligação";"11";"PP";"PROGRESSISTAS";"180000092065";"LAGOINHA É NOSSA";"PP / PSDB / PSD";"N";"1192";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PI";"12467";"MASSAPÊ DO PIAUÍ";"12467";"MASSAPÊ DO PIAUÍ";"19";"11";"Prefeito";"Coligação";"11";"PP";"PROGRESSISTAS";"180000090470";"O TRABALHO CONTINUA COM A FORÇA DO POVO";"PT / PP";"N";"2540";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PI";"10006";"BRASILEIRA";"10006";"BRASILEIRA";"11";"11";"Prefeito";"Partido isolado";"11";"PP";"PROGRESSISTAS";"180000068999";"PARTIDO ISOLADO";"PP";"N";"2944";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PI";"11878";"SANTO ANTÔNIO DE LISBOA";"11878";"SANTO ANTÔNIO DE LISBOA";"28";"11";"Prefeito";"Partido isolado";"11";"PP";"PROGRESSISTAS";"180000058265";"PARTIDO ISOLADO";"PP";"N";"3189";"0"
