"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"RO";"00035";"PORTO VELHO";"00035";"PORTO VELHO";"2";"13";"Vereador";"Partido isolado";"65";"PC do B";"Partido Comunista do Brasil";"220000090070";"PARTIDO ISOLADO";"PC do B";"N";"1739";"49"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"RO";"00175";"OURO PRETO DO OESTE";"00175";"OURO PRETO DO OESTE";"13";"13";"Vereador";"Partido isolado";"51";"PATRIOTA";"Patriota";"220000091143";"PARTIDO ISOLADO";"PATRIOTA";"N";"844";"33"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"RO";"00396";"MACHADINHO D OESTE";"00396";"MACHADINHO D OESTE";"32";"11";"Prefeito";"Coligação";"43";"PV";"Partido Verde";"220000070278";"A Força do Povo";"PSDB / PV";"N";"1402";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"RO";"00779";"BURITIS";"00779";"BURITIS";"34";"13";"Vereador";"Partido isolado";"12";"PDT";"Partido Democrático Trabalhista";"220000128564";"PARTIDO ISOLADO";"PDT";"N";"2796";"282"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"RO";"00213";"COSTA MARQUES";"00213";"COSTA MARQUES";"5";"13";"Vereador";"Partido isolado";"15";"MDB";"Movimento Democrático Brasileiro";"220000130083";"PARTIDO ISOLADO";"MDB";"N";"733";"17"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"RO";"00531";"CASTANHEIRAS";"00531";"CASTANHEIRAS";"15";"13";"Vereador";"Partido isolado";"25";"DEM";"Democratas";"220000061613";"PARTIDO ISOLADO";"DEM";"N";"266";"5"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"RO";"00051";"JI-PARANÁ";"00051";"JI-PARANÁ";"3";"13";"Vereador";"Partido isolado";"28";"PRTB";"Partido Renovador Trabalhista Brasileiro";"220000088256";"PARTIDO ISOLADO";"PRTB";"N";"309";"36"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"RO";"00191";"PRESIDENTE MÉDICI";"00191";"PRESIDENTE MÉDICI";"3";"13";"Vereador";"Partido isolado";"28";"PRTB";"Partido Renovador Trabalhista Brasileiro";"220000153836";"PARTIDO ISOLADO";"PRTB";"N";"1";"16"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"RO";"00019";"GUAJARÁ-MIRIM";"00019";"GUAJARÁ-MIRIM";"1";"13";"Vereador";"Partido isolado";"40";"PSB";"Partido Socialista Brasileiro";"220000155446";"PARTIDO ISOLADO";"PSB";"N";"1783";"49"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"RO";"00035";"PORTO VELHO";"00035";"PORTO VELHO";"21";"13";"Vereador";"Partido isolado";"43";"PV";"Partido Verde";"220000127029";"PARTIDO ISOLADO";"PV";"N";"2278";"20"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"RO";"00035";"PORTO VELHO";"00035";"PORTO VELHO";"6";"13";"Vereador";"Partido isolado";"11";"PP";"PROGRESSISTAS";"220000130985";"PARTIDO ISOLADO";"PP";"N";"1746";"318"
