"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"RR";"03018";"BOA VISTA";"03018";"BOA VISTA";"1";"13";"Vereador";"Partido isolado";"23";"CIDADANIA";"Cidadania";"230000127849";"PARTIDO ISOLADO";"CIDADANIA";"N";"2024";"26"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"RR";"03158";"SÃO LUIZ";"03158";"SÃO LUIZ";"4";"13";"Vereador";"Partido isolado";"25";"DEM";"Democratas";"230000070116";"PARTIDO ISOLADO";"DEM";"N";"768";"47"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"RR";"03018";"BOA VISTA";"03018";"BOA VISTA";"5";"13";"Vereador";"Partido isolado";"55";"PSD";"Partido Social Democrático";"230000127735";"PARTIDO ISOLADO";"PSD";"N";"3767";"53"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"RR";"03115";"NORMANDIA";"03115";"NORMANDIA";"5";"11";"Prefeito";"Partido isolado";"40";"PSB";"Partido Socialista Brasileiro";"230000073937";"PARTIDO ISOLADO";"PSB";"N";"486";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"RR";"03077";"BONFIM";"03077";"BONFIM";"5";"11";"Prefeito";"Coligação";"40";"PSB";"Partido Socialista Brasileiro";"230000067851";"União e Fé";"PSB / PSC / PSD";"N";"1640";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"RR";"03042";"AMAJARI";"03042";"AMAJARI";"7";"13";"Vereador";"Partido isolado";"22";"PL";"Partido Liberal";"230000149805";"PARTIDO ISOLADO";"PL";"N";"481";"52"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"RR";"03093";"MUCAJAÍ";"03093";"MUCAJAÍ";"6";"13";"Vereador";"Partido isolado";"23";"CIDADANIA";"Cidadania";"230000117637";"PARTIDO ISOLADO";"CIDADANIA";"N";"271";"4"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"RR";"03018";"BOA VISTA";"03018";"BOA VISTA";"1";"13";"Vereador";"Partido isolado";"27";"DC";"Democracia Cristã";"230000127984";"PARTIDO ISOLADO";"DC";"N";"3641";"24"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"RR";"03077";"BONFIM";"03077";"BONFIM";"5";"13";"Vereador";"Partido isolado";"40";"PSB";"Partido Socialista Brasileiro";"230000091554";"PARTIDO ISOLADO";"PSB";"N";"99";"54"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"RR";"03018";"BOA VISTA";"03018";"BOA VISTA";"1";"13";"Vereador";"Partido isolado";"43";"PV";"Partido Verde";"230000127786";"PARTIDO ISOLADO";"PV";"N";"3621";"20"
