"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"RS";"85413";"BENTO GONÇALVES";"85413";"BENTO GONÇALVES";"8";"13";"Vereador";"Partido isolado";"51";"PATRIOTA";"Patriota";"210000091417";"PARTIDO ISOLADO";"PATRIOTA";"N";"1426";"30"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"RS";"86851";"GUAÍBA";"86851";"GUAÍBA";"90";"13";"Vereador";"Partido isolado";"55";"PSD";"Partido Social Democrático";"210000077825";"PARTIDO ISOLADO";"PSD";"N";"772";"16"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"RS";"89141";"CAPÃO DO CIPÓ";"89141";"CAPÃO DO CIPÓ";"44";"13";"Vereador";"Partido isolado";"55";"PSD";"Partido Social Democrático";"210000135541";"PARTIDO ISOLADO";"PSD";"N";"117";"8"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"RS";"85898";"CANOAS";"85898";"CANOAS";"66";"13";"Vereador";"Partido isolado";"65";"PC do B";"Partido Comunista do Brasil";"210000068011";"PARTIDO ISOLADO";"PC do B";"N";"332";"21"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"RS";"88013";"PORTO ALEGRE";"88013";"PORTO ALEGRE";"111";"13";"Vereador";"Partido isolado";"77";"SOLIDARIEDADE";"Solidariedade";"210000068162";"PARTIDO ISOLADO";"SOLIDARIEDADE";"N";"632";"6"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"RS";"84875";"QUINZE DE NOVEMBRO";"84875";"QUINZE DE NOVEMBRO";"121";"13";"Vereador";"Partido isolado";"11";"PP";"PROGRESSISTAS";"210000097755";"PARTIDO ISOLADO";"PP";"N";"802";"11"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"RS";"89559";"VENÂNCIO AIRES";"89559";"VENÂNCIO AIRES";"93";"13";"Vereador";"Partido isolado";"11";"PP";"PROGRESSISTAS";"210000130639";"PARTIDO ISOLADO";"PP";"N";"465";"120"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"RS";"87734";"OSÓRIO";"87734";"OSÓRIO";"77";"13";"Vereador";"Partido isolado";"12";"PDT";"Partido Democrático Trabalhista";"210000097069";"PARTIDO ISOLADO";"PDT";"N";"8099";"233"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"RS";"85316";"BAGÉ";"85316";"BAGÉ";"7";"13";"Vereador";"Partido isolado";"13";"PT";"Partido dos Trabalhadores";"210000086993";"PARTIDO ISOLADO";"PT";"N";"6074";"594"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"RS";"89095";"SERAFINA CORRÊA";"89095";"SERAFINA CORRÊA";"22";"13";"Vereador";"Partido isolado";"14";"PTB";"Partido Trabalhista Brasileiro";"210000071027";"PARTIDO ISOLADO";"PTB";"N";"757";"19"
