"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"SE";"31992";"PEDRA MOLE";"31992";"PEDRA MOLE";"29";"13";"Vereador";"Partido isolado";"55";"PSD";"Partido Social Democrático";"260000073219";"PARTIDO ISOLADO";"PSD";"N";"1298";"62"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"SE";"31054";"ARACAJU";"31054";"ARACAJU";"2";"13";"Vereador";"Partido isolado";"65";"PC do B";"Partido Comunista do Brasil";"260000129921";"PARTIDO ISOLADO";"PC do B";"N";"3058";"29"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"SE";"31631";"ITAPORANGA D AJUDA";"31631";"ITAPORANGA D AJUDA";"31";"13";"Vereador";"Partido isolado";"10";"REPUBLICANOS";"REPUBLICANOS";"260000067063";"PARTIDO ISOLADO";"REPUBLICANOS";"N";"1962";"103"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"SE";"31798";"MARUIM";"31798";"MARUIM";"14";"13";"Vereador";"Partido isolado";"15";"MDB";"Movimento Democrático Brasileiro";"260000114427";"PARTIDO ISOLADO";"MDB";"N";"1594";"176"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"SE";"32174";"RIACHUELO";"32174";"RIACHUELO";"13";"13";"Vereador";"Partido isolado";"22";"PL";"Partido Liberal";"260000101473";"PARTIDO ISOLADO";"PL";"N";"678";"11"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"SE";"31259";"CAPELA";"31259";"CAPELA";"5";"11";"Prefeito";"Partido isolado";"10";"REPUBLICANOS";"REPUBLICANOS";"260000090143";"PARTIDO ISOLADO";"REPUBLICANOS";"N";"7040";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"SE";"31712";"LARANJEIRAS";"31712";"LARANJEIRAS";"13";"11";"Prefeito";"Coligação";"14";"PTB";"Partido Trabalhista Brasileiro";"260000101443";"LARANJEIRAS QUER MUDAR";"PTB / PSL";"N";"542";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"SE";"32476";"TOBIAS BARRETO";"32476";"TOBIAS BARRETO";"23";"11";"Prefeito";"Coligação";"15";"MDB";"Movimento Democrático Brasileiro";"260000145632";"O TRABALHO NÃO PODE PARAR";"DEM / MDB";"N";"14047";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"SE";"31054";"ARACAJU";"31054";"ARACAJU";"2";"11";"Prefeito";"Partido isolado";"16";"PSTU";"Partido Socialista dos Trabalhadores Unificado";"260000107948";"PARTIDO ISOLADO";"PSTU";"N";"238";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"SE";"31410";"ESTÂNCIA";"31410";"ESTÂNCIA";"6";"11";"Prefeito";"Partido isolado";"23";"CIDADANIA";"Cidadania";"260000068539";"PARTIDO ISOLADO";"CIDADANIA";"N";"956";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"SE";"31410";"ESTÂNCIA";"31410";"ESTÂNCIA";"6";"13";"Vereador";"Partido isolado";"10";"REPUBLICANOS";"REPUBLICANOS";"260000076286";"PARTIDO ISOLADO";"REPUBLICANOS";"N";"1965";"30"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"SE";"31496";"GARARU";"31496";"GARARU";"8";"13";"Vereador";"Partido isolado";"11";"PP";"PROGRESSISTAS";"260000130724";"PARTIDO ISOLADO";"PP";"N";"1729";"52"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"SE";"31879";"NEÓPOLIS";"31879";"NEÓPOLIS";"15";"13";"Vereador";"Partido isolado";"12";"PDT";"Partido Democrático Trabalhista";"260000111263";"PARTIDO ISOLADO";"PDT";"N";"1776";"73"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"SE";"31054";"ARACAJU";"31054";"ARACAJU";"2";"13";"Vereador";"Partido isolado";"17";"PSL";"Partido Social Liberal";"260000145670";"PARTIDO ISOLADO";"PSL";"N";"2147";"36"
