,NM_MUNICIPIO,QT_VOTOS_NOMINAIS,SG_PARTIDO,QT_VOTOS_LEGENDA,Nome_UF,Nome_Mesorregião,Nome_Microrregião
0,PONTALINDA,10,PSD,1,São Paulo,São José do Rio Preto,Jales
1,SÃO PAULO,5025,PSD,186,São Paulo,Metropolitana de São Paulo,São Paulo
2,PITANGUEIRAS,2087,PSD,311,São Paulo,Ribeirão Preto,Jaboticabal
3,ARAMINA,688,PSD,82,São Paulo,Ribeirão Preto,Ituverava
4,OUROESTE,216,PSD,5,São Paulo,São José do Rio Preto,Fernandópolis
5,SÃO VICENTE,2965,PSD,86,São Paulo,Metropolitana de São Paulo,Santos
6,SANTO ANDRÉ,424,PC do B,13,São Paulo,Metropolitana de São Paulo,São Paulo
7,JOSÉ BONIFÁCIO,299,PSD,9,São Paulo,São José do Rio Preto,São José do Rio Preto
8,GUARULHOS,893,PC do B,43,São Paulo,Metropolitana de São Paulo,Guarulhos
9,REGISTRO,4343,PSD,413,São Paulo,Litoral Sul Paulista,Registro
10,HORTOLÂNDIA,3593,SOLIDARIEDADE,73,São Paulo,Campinas,Campinas
11,PONTAL,1400,SOLIDARIEDADE,54,São Paulo,Ribeirão Preto,Ribeirão Preto
12,CAPÃO BONITO,249,SOLIDARIEDADE,9,São Paulo,Itapetininga,Capão Bonito
13,SÃO PAULO,1100,AVANTE,20,São Paulo,Metropolitana de São Paulo,São Paulo
14,ARARAQUARA,347,SOLIDARIEDADE,10,São Paulo,Araraquara,Araraquara
15,AVARÉ,1072,SOLIDARIEDADE,23,São Paulo,Bauru,Avaré
16,VALENTIM GENTIL,204,AVANTE,22,São Paulo,São José do Rio Preto,Votuporanga
17,PRACINHA,240,PROS,12,São Paulo,Presidente Prudente,Adamantina
18,PLANALTO,418,SOLIDARIEDADE,6,São Paulo,São José do Rio Preto,São José do Rio Preto
19,SÃO PAULO,1181,PROS,29,São Paulo,Metropolitana de São Paulo,São Paulo
20,SÃO BERNARDO DO CAMPO,2460,REPUBLICANOS,42,São Paulo,Metropolitana de São Paulo,São Paulo
21,GUARULHOS,3571,PDT,148,São Paulo,Metropolitana de São Paulo,Guarulhos
22,CUBATÃO,1175,PTB,78,São Paulo,Metropolitana de São Paulo,Santos
23,MARÍLIA,148,PTB,17,São Paulo,Marília,Marília
24,QUATÁ,805,PSL,13,São Paulo,Assis,Assis
25,BURI,1872,PODE,16,São Paulo,Itapetininga,Itapeva
26,PIRACICABA,2935,PODE,42,São Paulo,Piracicaba,Piracicaba
27,SOROCABA,5770,PL,118,São Paulo,Macro Metropolitana Paulista,Sorocaba
28,FRANCA,1255,PRTB,22,São Paulo,Ribeirão Preto,Franca
29,SANTO ANDRÉ,107,PMN,15,São Paulo,Metropolitana de São Paulo,São Paulo
30,LIMEIRA,486,PMB,15,São Paulo,Piracicaba,Limeira
31,FLOREAL,114,PSB,1,São Paulo,São José do Rio Preto,Auriflama
32,ESPÍRITO SANTO DO TURVO,1996,MDB,0,São Paulo,Assis,Ourinhos
33,SOROCABA,11505,PSL,0,São Paulo,Macro Metropolitana Paulista,Sorocaba
34,OSASCO,27758,PODE,0,São Paulo,Metropolitana de São Paulo,Osasco
35,SÃO PAULO,281,PRTB,0,São Paulo,Metropolitana de São Paulo,São Paulo
36,RANCHARIA,6689,PSDB,0,São Paulo,Presidente Prudente,Presidente Prudente
37,SÃO PAULO,6153,PATRIOTA,0,São Paulo,Metropolitana de São Paulo,São Paulo
38,VÁRZEA PAULISTA,702,PSD,0,São Paulo,Macro Metropolitana Paulista,Jundiaí
39,SÃO PAULO,174,PC do B,0,São Paulo,Metropolitana de São Paulo,São Paulo
40,BARRINHA,1944,REPUBLICANOS,0,São Paulo,Ribeirão Preto,Ribeirão Preto
41,SÃO PAULO,17129,REPUBLICANOS,0,São Paulo,Metropolitana de São Paulo,São Paulo
42,SOROCABA,11585,REPUBLICANOS,0,São Paulo,Macro Metropolitana Paulista,Sorocaba
43,MAUÁ,1405,PDT,0,São Paulo,Metropolitana de São Paulo,São Paulo
44,PARAIBUNA,4072,PDT,0,São Paulo,Vale do Paraíba Paulista,Paraibuna/Paraitinga
45,GUARULHOS,12372,PT,0,São Paulo,Metropolitana de São Paulo,Guarulhos
46,JACAREÍ,8638,PT,0,São Paulo,Vale do Paraíba Paulista,São José dos Campos
47,SANTO ANASTÁCIO,1651,PT,0,São Paulo,Presidente Prudente,Presidente Prudente
48,ITAPECERICA DA SERRA,19573,PTB,0,São Paulo,Metropolitana de São Paulo,Itapecerica da Serra
49,SUMARÉ,1417,PTB,0,São Paulo,Campinas,Campinas
50,RIBEIRÃO DO SUL,1287,PTB,0,São Paulo,Assis,Ourinhos
51,CAMPINAS,910,PTB,0,São Paulo,Campinas,Campinas
52,SANTOS,507,PTB,0,São Paulo,Metropolitana de São Paulo,Santos
53,BURI,331,MDB,0,São Paulo,Itapetininga,Itapeva
54,PEDREGULHO,4413,MDB,0,São Paulo,Ribeirão Preto,Franca
