"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"AC";"01392";"RIO BRANCO";"01392";"RIO BRANCO";"1";"13";"Vereador";"Partido isolado";"35";"PMB";"Partido da Mulher Brasileira";"10000147919";"PARTIDO ISOLADO";"PMB";"N";"11";"4"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"AC";"01007";"BUJARI";"01007";"BUJARI";"9";"13";"Vereador";"Partido isolado";"45";"PSDB";"Partido da Social Democracia Brasileira";"10000149271";"PARTIDO ISOLADO";"PSDB";"N";"560";"17"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"AC";"01392";"RIO BRANCO";"01392";"RIO BRANCO";"1";"13";"Vereador";"Partido isolado";"55";"PSD";"Partido Social Democrático";"10000060072";"PARTIDO ISOLADO";"PSD";"N";"5514";"86"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"AC";"01392";"RIO BRANCO";"01392";"RIO BRANCO";"9";"13";"Vereador";"Partido isolado";"15";"MDB";"Movimento Democrático Brasileiro";"10000064906";"PARTIDO ISOLADO";"MDB";"N";"6801";"422"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"AC";"01554";"MANOEL URBANO";"01554";"MANOEL URBANO";"3";"13";"Vereador";"Partido isolado";"45";"PSDB";"Partido da Social Democracia Brasileira";"10000071337";"PARTIDO ISOLADO";"PSDB";"N";"391";"14"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"AC";"01457";"SENA MADUREIRA";"01457";"SENA MADUREIRA";"3";"13";"Vereador";"Partido isolado";"12";"PDT";"Partido Democrático Trabalhista";"10000080631";"PARTIDO ISOLADO";"PDT";"N";"116";"77"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"AC";"01392";"RIO BRANCO";"01392";"RIO BRANCO";"9";"11";"Prefeito";"Coligação";"11";"PP";"PROGRESSISTAS";"10000117909";"PRODUZIR PARA EMPREGAR";"PSD / PP";"N";"43509";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"AC";"01074";"CRUZEIRO DO SUL";"01074";"CRUZEIRO DO SUL";"4";"11";"Prefeito";"Coligação";"15";"MDB";"Movimento Democrático Brasileiro";"10000079730";"A FORÇA DO TRABALHO";"PMN / MDB / PSDB / REPUBLICANOS / PSC / AVANTE / PL";"N";"14666";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"AC";"01392";"RIO BRANCO";"01392";"RIO BRANCO";"1";"11";"Prefeito";"Coligação";"70";"AVANTE";"AVANTE";"10000147748";"AVANÇA RIO BRANCO ";"DC / PMN / PMB / PATRIOTA / AVANTE";"N";"1202";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"AC";"01023";"PORTO ACRE";"01023";"PORTO ACRE";"1";"13";"Vereador";"Partido isolado";"17";"PSL";"Partido Social Liberal";"10000078177";"PARTIDO ISOLADO";"PSL";"N";"127";"28"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"AC";"01392";"RIO BRANCO";"01392";"RIO BRANCO";"1";"13";"Vereador";"Partido isolado";"21";"PCB";"Partido Comunista Brasileiro";"10000080016";"PARTIDO ISOLADO";"PCB";"N";"121";"28"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"AC";"01040";"MARECHAL THAUMATURGO";"01040";"MARECHAL THAUMATURGO";"4";"13";"Vereador";"Partido isolado";"12";"PDT";"Partido Democrático Trabalhista";"10000070338";"PARTIDO ISOLADO";"PDT";"N";"497";"33"
