"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"AL";"27855";"MACEIÓ";"27855";"MACEIÓ";"2";"11";"Prefeito";"Coligação";"11";"PP";"PROGRESSISTAS";"20000064822";"FORÇA E CORAÇÃO PRA MUDAR MACEIO";"PP / REPUBLICANOS / SOLIDARIEDADE / PSL / DEM / CIDADANIA";"N";"26788";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"AL";"27839";"LIMOEIRO DE ANADIA";"27839";"LIMOEIRO DE ANADIA";"47";"11";"Prefeito";"Coligação";"11";"PP";"PROGRESSISTAS";"20000078029";"NOVOS RUMOS PARA LIMOEIRO";"PP / PROS";"N";"7354";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"AL";"28134";"OLHO D ÁGUA DAS FLORES";"28134";"OLHO D ÁGUA DAS FLORES";"11";"11";"Prefeito";"Partido isolado";"13";"PT";"Partido dos Trabalhadores";"20000161092";"PARTIDO ISOLADO";"PT";"N";"65";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"AL";"28851";"UNIÃO DOS PALMARES";"28851";"UNIÃO DOS PALMARES";"21";"11";"Prefeito";"Partido isolado";"13";"PT";"Partido dos Trabalhadores";"20000145886";"PARTIDO ISOLADO";"PT";"N";"749";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"AL";"28274";"PÃO DE AÇÚCAR";"28274";"PÃO DE AÇÚCAR";"11";"11";"Prefeito";"Partido isolado";"50";"PSOL";"Partido Socialismo e Liberdade";"20000111601";"PARTIDO ISOLADO";"PSOL";"N";"42";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"AL";"28150";"OLHO D ÁGUA DO CASADO";"28150";"OLHO D ÁGUA DO CASADO";"40";"13";"Vereador";"Partido isolado";"10";"REPUBLICANOS";"REPUBLICANOS";"20000108714";"PARTIDO ISOLADO";"REPUBLICANOS";"N";"84";"5"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"AL";"27413";"COLÔNIA LEOPOLDINA";"27413";"COLÔNIA LEOPOLDINA";"16";"13";"Vereador";"Partido isolado";"11";"PP";"PROGRESSISTAS";"20000104364";"PARTIDO ISOLADO";"PP";"N";"2722";"88"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"AL";"28614";"SANTANA DO MUNDAÚ";"28614";"SANTANA DO MUNDAÚ";"21";"13";"Vereador";"Partido isolado";"15";"MDB";"Movimento Democrático Brasileiro";"20000146360";"PARTIDO ISOLADO";"MDB";"N";"2180";"187"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"AL";"28355";"PIAÇABUÇU";"28355";"PIAÇABUÇU";"13";"13";"Vereador";"Partido isolado";"15";"MDB";"Movimento Democrático Brasileiro";"20000108803";"PARTIDO ISOLADO";"MDB";"N";"1947";"38"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"AL";"27430";"COQUEIRO SECO";"27430";"COQUEIRO SECO";"8";"13";"Vereador";"Partido isolado";"15";"MDB";"Movimento Democrático Brasileiro";"20000112584";"PARTIDO ISOLADO";"MDB";"N";"1255";"87"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"AL";"28410";"PIRANHAS";"28410";"PIRANHAS";"40";"13";"Vereador";"Partido isolado";"20";"PSC";"Partido Social Cristão";"20000138546";"PARTIDO ISOLADO";"PSC";"N";"3418";"55"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"AL";"28312";"PAULO JACINTO";"28312";"PAULO JACINTO";"28";"13";"Vereador";"Partido isolado";"22";"PL";"Partido Liberal";"20000131010";"PARTIDO ISOLADO";"PL";"N";"1070";"30"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"AL";"27553";"FLEXEIRAS";"27553";"FLEXEIRAS";"53";"13";"Vereador";"Partido isolado";"25";"DEM";"Democratas";"20000155351";"PARTIDO ISOLADO";"DEM";"N";"1245";"30"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"AL";"27251";"CAJUEIRO";"27251";"CAJUEIRO";"5";"13";"Vereador";"Partido isolado";"33";"PMN";"Partido da Mobilização Nacional";"20000109868";"PARTIDO ISOLADO";"PMN";"N";"944";"52"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"AL";"27057";"ARAPIRACA";"27057";"ARAPIRACA";"55";"13";"Vereador";"Partido isolado";"33";"PMN";"Partido da Mobilização Nacional";"20000064784";"PARTIDO ISOLADO";"PMN";"N";"1024";"23"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"AL";"28258";"PALMEIRA DOS ÍNDIOS";"28258";"PALMEIRA DOS ÍNDIOS";"10";"13";"Vereador";"Partido isolado";"55";"PSD";"Partido Social Democrático";"20000150885";"PARTIDO ISOLADO";"PSD";"N";"5263";"90"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"AL";"27472";"DELMIRO GOUVEIA";"27472";"DELMIRO GOUVEIA";"40";"13";"Vereador";"Partido isolado";"55";"PSD";"Partido Social Democrático";"20000130186";"PARTIDO ISOLADO";"PSD";"N";"4799";"339"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"AL";"27855";"MACEIÓ";"27855";"MACEIÓ";"3";"13";"Vereador";"Partido isolado";"65";"PC do B";"Partido Comunista do Brasil";"20000076367";"PARTIDO ISOLADO";"PC do B";"N";"1847";"26"
