"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"BA";"37338";"MORPARÁ";"37338";"MORPARÁ";"173";"13";"Vereador";"Partido isolado";"55";"PSD";"Partido Social Democrático";"50000057120";"PARTIDO ISOLADO";"PSD";"N";"2431";"177"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"BA";"34053";"CAFARNAUM";"34053";"CAFARNAUM";"55";"13";"Vereador";"Partido isolado";"65";"PC do B";"Partido Comunista do Brasil";"50000150408";"PARTIDO ISOLADO";"PC do B";"N";"2100";"75"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"BA";"33065";"ADUSTINA";"33065";"ADUSTINA";"52";"13";"Vereador";"Partido isolado";"65";"PC do B";"Partido Comunista do Brasil";"50000136002";"PARTIDO ISOLADO";"PC do B";"N";"511";"16"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"BA";"34150";"CAMAMU";"34150";"CAMAMU";"78";"13";"Vereador";"Partido isolado";"65";"PC do B";"Partido Comunista do Brasil";"50000146384";"PARTIDO ISOLADO";"PC do B";"N";"2276";"48"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"BA";"33634";"BARREIRAS";"33634";"BARREIRAS";"75";"13";"Vereador";"Partido isolado";"70";"AVANTE";"AVANTE";"50000090365";"PARTIDO ISOLADO";"AVANTE";"N";"2680";"352"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"BA";"34711";"CONDE";"34711";"CONDE";"21";"13";"Vereador";"Partido isolado";"77";"SOLIDARIEDADE";"Solidariedade";"50000137095";"PARTIDO ISOLADO";"SOLIDARIEDADE";"N";"499";"68"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"BA";"33278";"ANGICAL";"33278";"ANGICAL";"126";"13";"Vereador";"Partido isolado";"70";"AVANTE";"AVANTE";"50000132248";"PARTIDO ISOLADO";"AVANTE";"N";"1697";"45"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"BA";"38113";"PRADO";"38113";"PRADO";"112";"13";"Vereador";"Partido isolado";"65";"PC do B";"Partido Comunista do Brasil";"50000152148";"PARTIDO ISOLADO";"PC do B";"N";"1105";"24"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"BA";"30058";"EUNÁPOLIS";"30058";"EUNÁPOLIS";"188";"13";"Vereador";"Partido isolado";"77";"SOLIDARIEDADE";"Solidariedade";"50000149084";"PARTIDO ISOLADO";"SOLIDARIEDADE";"N";"1707";"49"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"BA";"36706";"JUCURUÇU";"36706";"JUCURUÇU";"172";"13";"Vereador";"Partido isolado";"90";"PROS";"Partido Republicano da Ordem Social";"50000107510";"PARTIDO ISOLADO";"PROS";"N";"375";"6"
