"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"CE";"13897";"FORTALEZA";"13897";"FORTALEZA";"3";"13";"Vereador";"Partido isolado";"65";"PC do B";"Partido Comunista do Brasil";"60000076428";"PARTIDO ISOLADO";"PC do B";"N";"1143";"31"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"CE";"13838";"CRATEÚS";"13838";"CRATEÚS";"20";"13";"Vereador";"Partido isolado";"70";"AVANTE";"AVANTE";"60000147183";"PARTIDO ISOLADO";"AVANTE";"N";"12";"220"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"CE";"13463";"CHORÓ";"13463";"CHORÓ";"6";"13";"Vereador";"Partido isolado";"77";"SOLIDARIEDADE";"Solidariedade";"60000137294";"PARTIDO ISOLADO";"SOLIDARIEDADE";"N";"2255";"115"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"CE";"15393";"SABOEIRO";"15393";"SABOEIRO";"43";"13";"Vereador";"Partido isolado";"77";"SOLIDARIEDADE";"Solidariedade";"60000105942";"PARTIDO ISOLADO";"SOLIDARIEDADE";"N";"683";"27"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"CE";"13030";"ACARAÚ";"13030";"ACARAÚ";"30";"13";"Vereador";"Partido isolado";"12";"PDT";"Partido Democrático Trabalhista";"60000086455";"PARTIDO ISOLADO";"PDT";"N";"10650";"974"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"CE";"13897";"FORTALEZA";"13897";"FORTALEZA";"3";"13";"Vereador";"Partido isolado";"17";"PSL";"Partido Social Liberal";"60000067256";"PARTIDO ISOLADO";"PSL";"N";"1381";"57"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"CE";"15113";"PEDRA BRANCA";"15113";"PEDRA BRANCA";"59";"13";"Vereador";"Partido isolado";"65";"PC do B";"Partido Comunista do Brasil";"60000085467";"PARTIDO ISOLADO";"PC do B";"N";"522";"15"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"CE";"14150";"IPAUMIRIM";"14150";"IPAUMIRIM";"92";"13";"Vereador";"Partido isolado";"90";"PROS";"Partido Republicano da Ordem Social";"60000059772";"PARTIDO ISOLADO";"PROS";"N";"249";"6"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"CE";"14419";"JAGUARUANA";"14419";"JAGUARUANA";"75";"11";"Prefeito";"Coligação";"13";"PT";"Partido dos Trabalhadores";"60000128015";"JAGUARUANA UNIDA E FORTE";"PL / PT / PP / PC do B";"N";"10519";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"CE";"13676";"CARNAUBAL";"13676";"CARNAUBAL";"22";"11";"Prefeito";"Partido isolado";"15";"MDB";"Movimento Democrático Brasileiro";"60000075951";"PARTIDO ISOLADO";"MDB";"N";"3559";"0"
