"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"ES";"57070";"MARILÂNDIA";"57070";"MARILÂNDIA";"46";"11";"Prefeito";"Partido isolado";"22";"PL";"Partido Liberal";"80000061680";"PARTIDO ISOLADO";"PL";"N";"53";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"ES";"56006";"SÃO DOMINGOS DO NORTE";"56006";"SÃO DOMINGOS DO NORTE";"46";"11";"Prefeito";"Coligação";"33";"PMN";"Partido da Mobilização Nacional";"80000138487";"É NÓS DE NOVO COM A VOZ DO POVO";"PP / PMN / PSDB / PSD";"N";"1580";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"ES";"57053";"VITÓRIA";"57053";"VITÓRIA";"52";"11";"Prefeito";"Partido isolado";"30";"NOVO";"Partido Novo";"80000055561";"PARTIDO ISOLADO";"NOVO";"N";"2243";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"ES";"56235";"CACHOEIRO DE ITAPEMIRIM";"56235";"CACHOEIRO DE ITAPEMIRIM";"48";"13";"Vereador";"Partido isolado";"10";"REPUBLICANOS";"REPUBLICANOS";"80000147134";"PARTIDO ISOLADO";"REPUBLICANOS";"N";"2796";"53"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"ES";"56553";"ITAPEMIRIM";"56553";"ITAPEMIRIM";"22";"13";"Vereador";"Partido isolado";"11";"PP";"PROGRESSISTAS";"80000136024";"PARTIDO ISOLADO";"PP";"N";"2576";"338"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"ES";"56251";"CARIACICA";"56251";"CARIACICA";"34";"13";"Vereador";"Partido isolado";"12";"PDT";"Partido Democrático Trabalhista";"80000114895";"PARTIDO ISOLADO";"PDT";"N";"1471";"158"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"ES";"56251";"CARIACICA";"56251";"CARIACICA";"34";"13";"Vereador";"Partido isolado";"13";"PT";"Partido dos Trabalhadores";"80000141050";"PARTIDO ISOLADO";"PT";"N";"3023";"632"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"ES";"57037";"VILA VELHA";"57037";"VILA VELHA";"57";"13";"Vereador";"Partido isolado";"14";"PTB";"Partido Trabalhista Brasileiro";"80000146549";"PARTIDO ISOLADO";"PTB";"N";"2076";"38"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"ES";"57053";"VITÓRIA";"57053";"VITÓRIA";"52";"13";"Vereador";"Partido isolado";"15";"MDB";"Movimento Democrático Brasileiro";"80000154662";"PARTIDO ISOLADO";"MDB";"N";"516";"74"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"ES";"56626";"JOÃO NEIVA";"56626";"JOÃO NEIVA";"14";"13";"Vereador";"Partido isolado";"19";"PODE";"Podemos";"80000145686";"PARTIDO ISOLADO";"PODE";"N";"625";"11"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"ES";"56995";"SERRA";"56995";"SERRA";"53";"13";"Vereador";"Partido isolado";"22";"PL";"Partido Liberal";"80000128482";"PARTIDO ISOLADO";"PL";"N";"4537";"171"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"ES";"56839";"PIÚMA";"56839";"PIÚMA";"17";"13";"Vereador";"Partido isolado";"25";"DEM";"Democratas";"80000141605";"PARTIDO ISOLADO";"DEM";"N";"197";"9"
