"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PA";"04065";"SÃO JOÃO DE PIRABAS";"04065";"SÃO JOÃO DE PIRABAS";"64";"13";"Vereador";"Partido isolado";"65";"PC do B";"Partido Comunista do Brasil";"140000098300";"PARTIDO ISOLADO";"PC do B";"N";"273";"11"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PA";"05355";"SANTARÉM";"05355";"SANTARÉM";"20";"13";"Vereador";"Partido isolado";"70";"AVANTE";"AVANTE";"140000154690";"PARTIDO ISOLADO";"AVANTE";"N";"1203";"9"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PA";"05630";"VIGIA";"05630";"VIGIA";"8";"13";"Vereador";"Partido isolado";"13";"PT";"Partido dos Trabalhadores";"140000111332";"PARTIDO ISOLADO";"PT";"N";"1507";"26"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PA";"04693";"IRITUIA";"04693";"IRITUIA";"11";"13";"Vereador";"Partido isolado";"15";"MDB";"Movimento Democrático Brasileiro";"140000124611";"PARTIDO ISOLADO";"MDB";"N";"1197";"55"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PA";"04278";"BELÉM";"04278";"BELÉM";"97";"13";"Vereador";"Partido isolado";"40";"PSB";"Partido Socialista Brasileiro";"140000147316";"PARTIDO ISOLADO";"PSB";"N";"7088";"521"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PA";"05479";"SÃO FRANCISCO DO PARÁ";"05479";"SÃO FRANCISCO DO PARÁ";"5";"11";"Prefeito";"Coligação";"11";"PP";"PROGRESSISTAS";"140000123793";"JUNTOS POR SÃO FRANCISCO DO PARÁ";"PTB / PL / PP";"N";"653";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PA";"04626";"PLACAS";"04626";"PLACAS";"68";"11";"Prefeito";"Coligação";"15";"MDB";"Movimento Democrático Brasileiro";"140000140460";"PLACAS SEGUINDO EM FRENTE";"MDB / PSDB";"N";"6618";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PA";"05177";"PORTO DE MOZ";"05177";"PORTO DE MOZ";"82";"11";"Prefeito";"Partido isolado";"13";"PT";"Partido dos Trabalhadores";"140000138953";"PARTIDO ISOLADO";"PT";"N";"124";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PA";"04723";"ANAPU";"04723";"ANAPU";"80";"11";"Prefeito";"Coligação";"15";"MDB";"Movimento Democrático Brasileiro";"140000093453";"ANAPU EM BOAS MÃOS ";"PSDB / MDB / PSD";"N";"7478";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PA";"04200";"JACAREACANGA";"04200";"JACAREACANGA";"102";"11";"Prefeito";"Partido isolado";"28";"PRTB";"Partido Renovador Trabalhista Brasileiro";"140000130268";"PARTIDO ISOLADO";"PRTB";"N";"12";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PA";"04278";"BELÉM";"04278";"BELÉM";"28";"11";"Prefeito";"Partido isolado";"35";"PMB";"Partido da Mulher Brasileira";"140000073367";"PARTIDO ISOLADO";"PMB";"N";"91";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PA";"04260";"ÁGUA AZUL DO NORTE";"04260";"ÁGUA AZUL DO NORTE";"61";"11";"Prefeito";"Coligação";"45";"PSDB";"Partido da Social Democracia Brasileira";"140000126413";"A ESPERANCA DE VERDADE PARA NOSSA AGUA AZUL ";"PSB / PSDB / REPUBLICANOS";"N";"3931";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PA";"05630";"VIGIA";"05630";"VIGIA";"8";"11";"Prefeito";"Coligação";"45";"PSDB";"Partido da Social Democracia Brasileira";"140000136368";"JUNTOS POR VIGIA - PSDB/PSC/PDT";"PSDB / PDT / PSC";"N";"4610";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PA";"04154";"ANANINDEUA";"04154";"ANANINDEUA";"43";"13";"Vereador";"Partido isolado";"10";"REPUBLICANOS";"REPUBLICANOS";"140000058418";"PARTIDO ISOLADO";"REPUBLICANOS";"N";"6576";"110"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PA";"04642";"MARITUBA";"04642";"MARITUBA";"78";"13";"Vereador";"Partido isolado";"11";"PP";"PROGRESSISTAS";"140000065131";"PARTIDO ISOLADO";"PP";"N";"988";"70"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PA";"04170";"AUGUSTO CORRÊA";"04170";"AUGUSTO CORRÊA";"52";"13";"Vereador";"Partido isolado";"12";"PDT";"Partido Democrático Trabalhista";"140000073225";"PARTIDO ISOLADO";"PDT";"N";"1596";"157"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PA";"04235";"BAIÃO";"04235";"BAIÃO";"35";"13";"Vereador";"Partido isolado";"12";"PDT";"Partido Democrático Trabalhista";"140000128616";"PARTIDO ISOLADO";"PDT";"N";"2547";"86"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PA";"04278";"BELÉM";"04278";"BELÉM";"95";"13";"Vereador";"Partido isolado";"13";"PT";"Partido dos Trabalhadores";"140000144122";"PARTIDO ISOLADO";"PT";"N";"3115";"118"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PA";"04278";"BELÉM";"04278";"BELÉM";"95";"13";"Vereador";"Partido isolado";"14";"PTB";"Partido Trabalhista Brasileiro";"140000138168";"PARTIDO ISOLADO";"PTB";"N";"1373";"40"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PA";"05630";"VIGIA";"05630";"VIGIA";"8";"13";"Vereador";"Partido isolado";"15";"MDB";"Movimento Democrático Brasileiro";"140000146574";"PARTIDO ISOLADO";"MDB";"N";"7196";"353"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PA";"04766";"CACHOEIRA DO PIRIÁ";"04766";"CACHOEIRA DO PIRIÁ";"14";"13";"Vereador";"Partido isolado";"15";"MDB";"Movimento Democrático Brasileiro";"140000067637";"PARTIDO ISOLADO";"MDB";"N";"3857";"117"
