"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19810";"CAMPINA GRANDE";"19810";"CAMPINA GRANDE";"72";"13";"Vereador";"Partido isolado";"65";"PC do B";"Partido Comunista do Brasil";"150000094491";"PARTIDO ISOLADO";"PC do B";"N";"2561";"390"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"20451";"ITATUBA";"20451";"ITATUBA";"8";"13";"Vereador";"Partido isolado";"13";"PT";"Partido dos Trabalhadores";"150000136612";"PARTIDO ISOLADO";"PT";"N";"24";"8"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19836";"CARRAPATEIRA";"19836";"CARRAPATEIRA";"40";"13";"Vereador";"Partido isolado";"43";"PV";"Partido Verde";"150000130993";"PARTIDO ISOLADO";"PV";"N";"748";"20"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19399";"BELÉM";"19399";"BELÉM";"14";"13";"Vereador";"Partido isolado";"65";"PC do B";"Partido Comunista do Brasil";"150000145572";"PARTIDO ISOLADO";"PC do B";"N";"161";"4"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"20257";"FREI MARTINHO";"20257";"FREI MARTINHO";"25";"11";"Prefeito";"Partido isolado";"15";"MDB";"Movimento Democrático Brasileiro";"150000053152";"PARTIDO ISOLADO";"MDB";"N";"748";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"21750";"SANTA RITA";"21750";"SANTA RITA";"2";"11";"Prefeito";"Partido isolado";"10";"REPUBLICANOS";"REPUBLICANOS";"150000127943";"PARTIDO ISOLADO";"REPUBLICANOS";"N";"3186";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19666";"JOCA CLAUDINO";"19666";"JOCA CLAUDINO";"53";"11";"Prefeito";"Coligação";"11";"PP";"PROGRESSISTAS";"150000051729";"A FORÇA DA MUDANÇA";"REPUBLICANOS / PP";"N";"1571";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19313";"BANANEIRAS";"19313";"BANANEIRAS";"14";"11";"Prefeito";"Coligação";"15";"MDB";"Movimento Democrático Brasileiro";"150000094041";"Por Toda Bananeiras";"PODE / MDB / PP / CIDADANIA / REPUBLICANOS";"N";"7693";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"20150";"DONA INÊS";"20150";"DONA INÊS";"14";"11";"Prefeito";"Partido isolado";"15";"MDB";"Movimento Democrático Brasileiro";"150000093263";"PARTIDO ISOLADO";"MDB";"N";"1870";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"21911";"SÃO JOSÉ DE PIRANHAS";"21911";"SÃO JOSÉ DE PIRANHAS";"40";"11";"Prefeito";"Coligação";"15";"MDB";"Movimento Democrático Brasileiro";"150000130100";"Nós Podemos Mais";"PP / PT / MDB / PV";"N";"1876";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"21636";"SALGADO DE SÃO FÉLIX";"21636";"SALGADO DE SÃO FÉLIX";"6";"11";"Prefeito";"Coligação";"25";"DEM";"Democratas";"150000083099";"DE BEM COM O POVO";"PP / CIDADANIA / DEM";"N";"3591";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19810";"CAMPINA GRANDE";"19810";"CAMPINA GRANDE";"17";"11";"Prefeito";"Coligação";"55";"PSD";"Partido Social Democrático";"150000075022";"CAMPINA RUMO AO FUTURO";"REPUBLICANOS / PP / PSC / PROS / PSD / PSDB / PMB";"N";"44794";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"21598";"RIO TINTO";"21598";"RIO TINTO";"55";"11";"Prefeito";"Partido isolado";"51";"PATRIOTA";"Patriota";"150000149444";"PARTIDO ISOLADO";"PATRIOTA";"N";"321";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"22233";"SOLEDADE";"22233";"SOLEDADE";"23";"11";"Prefeito";"Partido isolado";"90";"PROS";"Partido Republicano da Ordem Social";"150000071516";"PARTIDO ISOLADO";"PROS";"N";"247";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19089";"CUITÉ DE MAMANGUAPE";"19089";"CUITÉ DE MAMANGUAPE";"7";"13";"Vereador";"Partido isolado";"11";"PP";"PROGRESSISTAS";"150000126029";"PARTIDO ISOLADO";"PP";"N";"781";"56"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"21890";"SÃO JOSÉ DE ESPINHARAS";"21890";"SÃO JOSÉ DE ESPINHARAS";"51";"13";"Vereador";"Partido isolado";"12";"PDT";"Partido Democrático Trabalhista";"150000072649";"PARTIDO ISOLADO";"PDT";"N";"345";"19"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"20516";"JOÃO PESSOA";"20516";"JOÃO PESSOA";"77";"13";"Vereador";"Partido isolado";"12";"PDT";"Partido Democrático Trabalhista";"150000118455";"PARTIDO ISOLADO";"PDT";"N";"2511";"154"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"21172";"PATOS";"21172";"PATOS";"28";"13";"Vereador";"Partido isolado";"13";"PT";"Partido dos Trabalhadores";"150000133020";"PARTIDO ISOLADO";"PT";"N";"2331";"137"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19810";"CAMPINA GRANDE";"19810";"CAMPINA GRANDE";"17";"13";"Vereador";"Partido isolado";"14";"PTB";"Partido Trabalhista Brasileiro";"150000075248";"PARTIDO ISOLADO";"PTB";"N";"4387";"80"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"21431";"POMBAL";"21431";"POMBAL";"31";"13";"Vereador";"Partido isolado";"15";"MDB";"Movimento Democrático Brasileiro";"150000114288";"PARTIDO ISOLADO";"MDB";"N";"7609";"479"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"20516";"JOÃO PESSOA";"20516";"JOÃO PESSOA";"77";"13";"Vereador";"Partido isolado";"15";"MDB";"Movimento Democrático Brasileiro";"150000144517";"PARTIDO ISOLADO";"MDB";"N";"3214";"1218"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"21911";"SÃO JOSÉ DE PIRANHAS";"21911";"SÃO JOSÉ DE PIRANHAS";"40";"13";"Vereador";"Partido isolado";"19";"PODE";"Podemos";"150000068179";"PARTIDO ISOLADO";"PODE";"N";"2390";"39"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"22179";"SERRA REDONDA";"22179";"SERRA REDONDA";"72";"13";"Vereador";"Partido isolado";"22";"PL";"Partido Liberal";"150000060433";"PARTIDO ISOLADO";"PL";"N";"2277";"164"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"20516";"JOÃO PESSOA";"20516";"JOÃO PESSOA";"64";"13";"Vereador";"Partido isolado";"25";"DEM";"Democratas";"150000095496";"PARTIDO ISOLADO";"DEM";"N";"1179";"65"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19232";"AREIAL";"19232";"AREIAL";"19";"13";"Vereador";"Partido isolado";"40";"PSB";"Partido Socialista Brasileiro";"150000143943";"PARTIDO ISOLADO";"PSB";"N";"393";"16"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19437";"BOA VENTURA";"19437";"BOA VENTURA";"42";"13";"Vereador";"Partido isolado";"45";"PSDB";"Partido da Social Democracia Brasileira";"150000117693";"PARTIDO ISOLADO";"PSDB";"N";"1070";"27"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19950";"CONGO";"19950";"CONGO";"43";"13";"Vereador";"Partido isolado";"55";"PSD";"Partido Social Democrático";"150000115425";"PARTIDO ISOLADO";"PSD";"N";"880";"21"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19070";"ALAGOA NOVA";"19070";"ALAGOA NOVA";"13";"13";"Vereador";"Partido isolado";"70";"AVANTE";"AVANTE";"150000146942";"PARTIDO ISOLADO";"AVANTE";"N";"335";"8"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19810";"CAMPINA GRANDE";"19810";"CAMPINA GRANDE";"16";"13";"Vereador";"Partido isolado";"77";"SOLIDARIEDADE";"Solidariedade";"150000069457";"PARTIDO ISOLADO";"SOLIDARIEDADE";"N";"2818";"66"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"21490";"PUXINANÃ";"21490";"PUXINANÃ";"50";"13";"Vereador";"Partido isolado";"12";"PDT";"Partido Democrático Trabalhista";"150000087145";"PARTIDO ISOLADO";"PDT";"N";"1779";"65"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"20516";"JOÃO PESSOA";"20516";"JOÃO PESSOA";"70";"13";"Vereador";"Partido isolado";"22";"PL";"Partido Liberal";"150000085189";"PARTIDO ISOLADO";"PL";"N";"2434";"46"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19003";"RIACHÃO DO POÇO";"19003";"RIACHÃO DO POÇO";"4";"13";"Vereador";"Partido isolado";"65";"PC do B";"Partido Comunista do Brasil";"150000154989";"PARTIDO ISOLADO";"PC do B";"N";"107";"1"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"20990";"NATUBA";"20990";"NATUBA";"18";"13";"Vereador";"Partido isolado";"77";"SOLIDARIEDADE";"Solidariedade";"150000095950";"PARTIDO ISOLADO";"SOLIDARIEDADE";"N";"144";"3"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19763";"ALCANTIL";"19763";"ALCANTIL";"18";"11";"Prefeito";"Coligação";"11";"PP";"PROGRESSISTAS";"150000077878";"O TRABALHO TEM QUE CONTINUAR";"PP / PDT";"N";"1863";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19593";"BREJO DOS SANTOS";"19593";"BREJO DOS SANTOS";"36";"11";"Prefeito";"Partido isolado";"12";"PDT";"Partido Democrático Trabalhista";"150000111067";"PARTIDO ISOLADO";"PDT";"N";"22";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19658";"CABEDELO";"19658";"CABEDELO";"57";"11";"Prefeito";"Partido isolado";"13";"PT";"Partido dos Trabalhadores";"150000115100";"PARTIDO ISOLADO";"PT";"N";"286";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"22071";"SAPÉ";"22071";"SAPÉ";"4";"11";"Prefeito";"Partido isolado";"20";"PSC";"Partido Social Cristão";"150000089214";"PARTIDO ISOLADO";"PSC";"N";"47";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19879";"CATOLÉ DO ROCHA";"19879";"CATOLÉ DO ROCHA";"36";"11";"Prefeito";"Coligação";"25";"DEM";"Democratas";"150000111463";"Unidos pra avançar";"PP / PTB / DEM / PSDB";"N";"10231";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"20877";"MATARACA";"20877";"MATARACA";"7";"11";"Prefeito";"Partido isolado";"43";"PV";"Partido Verde";"150000107525";"PARTIDO ISOLADO";"PV";"N";"47";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"20516";"JOÃO PESSOA";"20516";"JOÃO PESSOA";"64";"11";"Prefeito";"Coligação";"77";"SOLIDARIEDADE";"Solidariedade";"150000067006";"UM NOVO MOMENTO, UMA NOVA SOLUÇÃO";"SOLIDARIEDADE / PSL";"N";"1475";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19070";"ALAGOA NOVA";"19070";"ALAGOA NOVA";"13";"11";"Prefeito";"Partido isolado";"90";"PROS";"Partido Republicano da Ordem Social";"150000146048";"PARTIDO ISOLADO";"PROS";"N";"44";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"20710";"LIVRAMENTO";"20710";"LIVRAMENTO";"27";"13";"Vereador";"Partido isolado";"10";"REPUBLICANOS";"REPUBLICANOS";"150000127528";"PARTIDO ISOLADO";"REPUBLICANOS";"N";"689";"35"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"19330";"BARRA DE SANTA ROSA";"19330";"BARRA DE SANTA ROSA";"67";"13";"Vereador";"Partido isolado";"11";"PP";"PROGRESSISTAS";"150000137825";"PARTIDO ISOLADO";"PP";"N";"2844";"166"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"20273";"GUARABIRA";"20273";"GUARABIRA";"10";"13";"Vereador";"Partido isolado";"15";"MDB";"Movimento Democrático Brasileiro";"150000078775";"PARTIDO ISOLADO";"MDB";"N";"5532";"464"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"22071";"SAPÉ";"22071";"SAPÉ";"4";"13";"Vereador";"Partido isolado";"17";"PSL";"Partido Social Liberal";"150000128512";"PARTIDO ISOLADO";"PSL";"N";"537";"16"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"21873";"SÃO JOSÉ DE CAIANA";"21873";"SÃO JOSÉ DE CAIANA";"33";"13";"Vereador";"Partido isolado";"19";"PODE";"Podemos";"150000067432";"PARTIDO ISOLADO";"PODE";"N";"175";"5"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"21199";"PAULISTA";"21199";"PAULISTA";"69";"13";"Vereador";"Partido isolado";"22";"PL";"Partido Liberal";"150000084986";"PARTIDO ISOLADO";"PL";"N";"5628";"275"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PB";"20257";"FREI MARTINHO";"20257";"FREI MARTINHO";"25";"13";"Vereador";"Partido isolado";"23";"CIDADANIA";"Cidadania";"150000056798";"PARTIDO ISOLADO";"CIDADANIA";"N";"830";"47"
