"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PE";"25313";"RECIFE";"25313";"RECIFE";"4";"13";"Vereador";"Partido isolado";"15";"MDB";"Movimento Democrático Brasileiro";"170000150261";"PARTIDO ISOLADO";"MDB";"N";"1943";"52"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PE";"24716";"LAGOA DO OURO";"24716";"LAGOA DO OURO";"59";"13";"Vereador";"Partido isolado";"17";"PSL";"Partido Social Liberal";"170000087827";"PARTIDO ISOLADO";"PSL";"N";"1233";"160"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PE";"23639";"CAETÉS";"23639";"CAETÉS";"130";"13";"Vereador";"Partido isolado";"20";"PSC";"Partido Social Cristão";"170000112226";"PARTIDO ISOLADO";"PSC";"N";"1025";"170"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PE";"26093";"TRACUNHAÉM";"26093";"TRACUNHAÉM";"23";"13";"Vereador";"Partido isolado";"22";"PL";"Partido Liberal";"170000093048";"PARTIDO ISOLADO";"PL";"N";"1706";"195"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PE";"23434";"BOM JARDIM";"23434";"BOM JARDIM";"33";"13";"Vereador";"Partido isolado";"22";"PL";"Partido Liberal";"170000078974";"PARTIDO ISOLADO";"PL";"N";"3451";"527"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PE";"24570";"JABOATÃO DOS GUARARAPES";"24570";"JABOATÃO DOS GUARARAPES";"101";"13";"Vereador";"Partido isolado";"23";"CIDADANIA";"Cidadania";"170000148027";"PARTIDO ISOLADO";"CIDADANIA";"N";"2404";"44"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PE";"24570";"JABOATÃO DOS GUARARAPES";"24570";"JABOATÃO DOS GUARARAPES";"101";"13";"Vereador";"Partido isolado";"25";"DEM";"Democratas";"170000147864";"PARTIDO ISOLADO";"DEM";"N";"835";"60"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PE";"24570";"JABOATÃO DOS GUARARAPES";"24570";"JABOATÃO DOS GUARARAPES";"101";"13";"Vereador";"Partido isolado";"27";"DC";"Democracia Cristã";"170000147477";"PARTIDO ISOLADO";"DC";"N";"183";"51"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PE";"24910";"OLINDA";"24910";"OLINDA";"117";"13";"Vereador";"Partido isolado";"33";"PMN";"Partido da Mobilização Nacional";"170000091820";"PARTIDO ISOLADO";"PMN";"N";"3573";"67"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PE";"23019";"AFOGADOS DA INGAZEIRA";"23019";"AFOGADOS DA INGAZEIRA";"66";"13";"Vereador";"Partido isolado";"40";"PSB";"Partido Socialista Brasileiro";"170000079411";"PARTIDO ISOLADO";"PSB";"N";"5196";"522"
