"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PR";"78158";"RIBEIRÃO DO PINHAL";"78158";"RIBEIRÃO DO PINHAL";"82";"13";"Vereador";"Partido isolado";"55";"PSD";"Partido Social Democrático";"160000151286";"PARTIDO ISOLADO";"PSD";"N";"906";"55"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PR";"75914";"IBIPORÃ";"75914";"IBIPORÃ";"80";"13";"Vereador";"Partido isolado";"51";"PATRIOTA";"Patriota";"160000154508";"PARTIDO ISOLADO";"PATRIOTA";"N";"273";"8"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PR";"75280";"CORUMBATAÍ DO SUL";"75280";"CORUMBATAÍ DO SUL";"133";"13";"Vereador";"Partido isolado";"55";"PSD";"Partido Social Democrático";"160000069906";"PARTIDO ISOLADO";"PSD";"N";"646";"90"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PR";"77771";"PONTA GROSSA";"77771";"PONTA GROSSA";"139";"13";"Vereador";"Partido isolado";"55";"PSD";"Partido Social Democrático";"160000069497";"PARTIDO ISOLADO";"PSD";"N";"5840";"335"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PR";"75337";"CRUZ MACHADO";"75337";"CRUZ MACHADO";"153";"13";"Vereador";"Partido isolado";"55";"PSD";"Partido Social Democrático";"160000111207";"PARTIDO ISOLADO";"PSD";"N";"4201";"194"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PR";"79316";"TUNEIRAS DO OESTE";"79316";"TUNEIRAS DO OESTE";"86";"13";"Vereador";"Partido isolado";"55";"PSD";"Partido Social Democrático";"160000158956";"PARTIDO ISOLADO";"PSD";"N";"643";"14"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PR";"74837";"CAMPO MOURÃO";"74837";"CAMPO MOURÃO";"31";"13";"Vereador";"Partido isolado";"55";"PSD";"Partido Social Democrático";"160000078467";"PARTIDO ISOLADO";"PSD";"N";"6922";"123"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PR";"75485";"MARQUINHO";"75485";"MARQUINHO";"134";"13";"Vereador";"Partido isolado";"55";"PSD";"Partido Social Democrático";"160000073144";"PARTIDO ISOLADO";"PSD";"N";"1235";"29"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PR";"75094";"CLEVELÂNDIA";"75094";"CLEVELÂNDIA";"47";"13";"Vereador";"Partido isolado";"90";"PROS";"Partido Republicano da Ordem Social";"160000118279";"PARTIDO ISOLADO";"PROS";"N";"128";"3"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PR";"75213";"CONTENDA";"75213";"CONTENDA";"50";"13";"Vereador";"Partido isolado";"12";"PDT";"Partido Democrático Trabalhista";"160000150372";"PARTIDO ISOLADO";"PDT";"N";"1032";"107"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"PR";"74357";"ARAUCÁRIA";"74357";"ARAUCÁRIA";"50";"13";"Vereador";"Partido isolado";"12";"PDT";"Partido Democrático Trabalhista";"160000060536";"PARTIDO ISOLADO";"PDT";"N";"5147";"194"
