"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"RN";"17876";"PAU DOS FERROS";"17876";"PAU DOS FERROS";"40";"13";"Vereador";"Partido isolado";"65";"PC do B";"Partido Comunista do Brasil";"200000138265";"PARTIDO ISOLADO";"PC do B";"N";"1301";"16"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"RN";"17132";"JOÃO CÂMARA";"17132";"JOÃO CÂMARA";"10";"13";"Vereador";"Partido isolado";"11";"PP";"PROGRESSISTAS";"200000143868";"PARTIDO ISOLADO";"PP";"N";"724";"28"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"RN";"17612";"NATAL";"17612";"NATAL";"3";"13";"Vereador";"Partido isolado";"35";"PMB";"Partido da Mulher Brasileira";"200000059828";"PARTIDO ISOLADO";"PMB";"N";"1905";"24"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"RN";"16217";"AREIA BRANCA";"16217";"AREIA BRANCA";"32";"13";"Vereador";"Partido isolado";"43";"PV";"Partido Verde";"200000095764";"PARTIDO ISOLADO";"PV";"N";"2185";"24"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"RN";"17612";"NATAL";"17612";"NATAL";"69";"13";"Vereador";"Partido isolado";"50";"PSOL";"Partido Socialismo e Liberdade";"200000114735";"PARTIDO ISOLADO";"PSOL";"N";"1685";"55"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"RN";"17612";"NATAL";"17612";"NATAL";"3";"13";"Vereador";"Partido isolado";"80";"UP";"Unidade Popular";"200000067506";"PARTIDO ISOLADO";"UP";"N";"158";"9"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"RN";"16136";"ALTO DO RODRIGUES";"16136";"ALTO DO RODRIGUES";"47";"11";"Prefeito";"Partido isolado";"43";"PV";"Partido Verde";"200000143840";"PARTIDO ISOLADO";"PV";"N";"75";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"RN";"17310";"LAGOA SALGADA";"17310";"LAGOA SALGADA";"44";"11";"Prefeito";"Coligação";"45";"PSDB";"Partido da Social Democracia Brasileira";"200000055729";"HONESTIDADE E COMPROMISSO";"REPUBLICANOS / PSDB";"N";"3323";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"RN";"17612";"NATAL";"17612";"NATAL";"1";"11";"Prefeito";"Partido isolado";"65";"PC do B";"Partido Comunista do Brasil";"200000124102";"PARTIDO ISOLADO";"PC do B";"N";"224";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"RN";"17590";"MOSSORÓ";"17590";"MOSSORÓ";"33";"11";"Prefeito";"Coligação";"11";"PP";"PROGRESSISTAS";"200000097720";"FORÇA DO POVO";"PSC / PSDB / CIDADANIA / DC / REPUBLICANOS / MDB / PDT / PATRIOTA / PL / REDE / PP";"N";"31820";"0"
