"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"SC";"83151";"SÃO CARLOS";"83151";"SÃO CARLOS";"70";"13";"Vereador";"Partido isolado";"55";"PSD";"Partido Social Democrático";"240000098369";"PARTIDO ISOLADO";"PSD";"N";"375";"16"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"SC";"83470";"SIDERÓPOLIS";"83470";"SIDERÓPOLIS";"92";"13";"Vereador";"Partido isolado";"55";"PSD";"Partido Social Democrático";"240000151711";"PARTIDO ISOLADO";"PSD";"N";"682";"12"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"SC";"83674";"TUBARÃO";"83674";"TUBARÃO";"33";"13";"Vereador";"Partido isolado";"55";"PSD";"Partido Social Democrático";"240000058945";"PARTIDO ISOLADO";"PSD";"N";"5077";"49"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"SC";"80896";"CRICIÚMA";"80896";"CRICIÚMA";"92";"13";"Vereador";"Partido isolado";"13";"PT";"Partido dos Trabalhadores";"240000115464";"PARTIDO ISOLADO";"PT";"N";"916";"66"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"SC";"83593";"TRÊS BARRAS";"83593";"TRÊS BARRAS";"8";"13";"Vereador";"Partido isolado";"14";"PTB";"Partido Trabalhista Brasileiro";"240000126683";"PARTIDO ISOLADO";"PTB";"N";"1951";"30"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"SC";"81051";"FLORIANÓPOLIS";"81051";"FLORIANÓPOLIS";"12";"13";"Vereador";"Partido isolado";"21";"PCB";"Partido Comunista Brasileiro";"240000067599";"PARTIDO ISOLADO";"PCB";"N";"48";"18"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"SC";"80136";"ALFREDO WAGNER";"80136";"ALFREDO WAGNER";"4";"13";"Vereador";"Partido isolado";"22";"PL";"Partido Liberal";"240000133812";"PARTIDO ISOLADO";"PL";"N";"161";"1"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"SC";"82279";"NOVA VENEZA";"82279";"NOVA VENEZA";"98";"13";"Vereador";"Partido isolado";"55";"PSD";"Partido Social Democrático";"240000109851";"PARTIDO ISOLADO";"PSD";"N";"1537";"32"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"SC";"81361";"IOMERÊ";"81361";"IOMERÊ";"36";"11";"Prefeito";"Coligação";"11";"PP";"PROGRESSISTAS";"240000131543";"UNIAO E RENOVACAO";"PP / PSD";"N";"1270";"0"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"SC";"80780";"SÃO MIGUEL DA BOA VISTA";"80780";"SÃO MIGUEL DA BOA VISTA";"58";"11";"Prefeito";"Coligação";"15";"MDB";"Movimento Democrático Brasileiro";"240000124541";"UNIDOS PARA CONTINUAR O PROGRESSO";"MDB / PSDB";"N";"670";"0"
