"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"TO";"73326";"CARMOLÂNDIA";"73326";"CARMOLÂNDIA";"34";"13";"Vereador";"Partido isolado";"15";"MDB";"Movimento Democrático Brasileiro";"270000051604";"PARTIDO ISOLADO";"MDB";"N";"297";"14"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"TO";"73334";"ARAGOMINAS";"73334";"ARAGOMINAS";"34";"13";"Vereador";"Partido isolado";"15";"MDB";"Movimento Democrático Brasileiro";"270000092723";"PARTIDO ISOLADO";"MDB";"N";"322";"20"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"TO";"95478";"PIUM";"95478";"PIUM";"13";"13";"Vereador";"Partido isolado";"15";"MDB";"Movimento Democrático Brasileiro";"270000134171";"PARTIDO ISOLADO";"MDB";"N";"1256";"104"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"TO";"92509";"PORTO ALEGRE DO TOCANTINS";"92509";"PORTO ALEGRE DO TOCANTINS";"25";"13";"Vereador";"Partido isolado";"20";"PSC";"Partido Social Cristão";"270000127634";"PARTIDO ISOLADO";"PSC";"N";"114";"6"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"TO";"92142";"COMBINADO";"92142";"COMBINADO";"22";"13";"Vereador";"Partido isolado";"22";"PL";"Partido Liberal";"270000138241";"PARTIDO ISOLADO";"PL";"N";"27";"4"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"TO";"94994";"NOVO ACORDO";"94994";"NOVO ACORDO";"35";"13";"Vereador";"Partido isolado";"25";"DEM";"Democratas";"270000129607";"PARTIDO ISOLADO";"DEM";"N";"529";"49"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"TO";"93858";"GURUPI";"93858";"GURUPI";"2";"13";"Vereador";"Partido isolado";"28";"PRTB";"Partido Renovador Trabalhista Brasileiro";"270000134858";"PARTIDO ISOLADO";"PRTB";"N";"1809";"16"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"TO";"96857";"AUGUSTINÓPOLIS";"96857";"AUGUSTINÓPOLIS";"21";"13";"Vereador";"Partido isolado";"40";"PSB";"Partido Socialista Brasileiro";"270000056032";"PARTIDO ISOLADO";"PSB";"N";"132";"5"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"TO";"92584";"SANTA ROSA DO TOCANTINS";"92584";"SANTA ROSA DO TOCANTINS";"19";"13";"Vereador";"Partido isolado";"77";"SOLIDARIEDADE";"Solidariedade";"270000139267";"PARTIDO ISOLADO";"SOLIDARIEDADE";"N";"1446";"69"
"26/11/2020";"11:39:02";"2020";"2";"Eleição Ordinária";"1";"426";"Eleições Municipais 2020";"15/11/2020";"M";"TO";"93114";"COLINAS DO TOCANTINS";"93114";"COLINAS DO TOCANTINS";"4";"13";"Vereador";"Partido isolado";"70";"AVANTE";"AVANTE";"270000150578";"PARTIDO ISOLADO";"AVANTE";"N";"2264";"27"
